previous_state,current_state,customer_count,previous_month,current_month,customer_share
DORMANT,REACTIVATED,83,2010-07,2010-08,0.1015
EMERGING,EMERGING,450,2010-07,2010-08,0.6338
EMERGING,ENGAGED,90,2010-07,2010-08,0.1268
EMERGING,SOFTENING,170,2010-07,2010-08,0.2394
ENGAGED,ENGAGED,654,2010-07,2010-08,0.6891
ENGAGED,SOFTENING,295,2010-07,2010-08,0.3109
REACTIVATED,ENGAGED,52,2010-07,2010-08,1.0
SOFTENING,DORMANT,273,2010-07,2010-08,0.4333
SOFTENING,ENGAGED,165,2010-07,2010-08,0.2619
SOFTENING,SOFTENING,192,2010-07,2010-08,0.3048
DORMANT,DORMANT,875,2010-08,2010-09,0.8681
DORMANT,REACTIVATED,133,2010-08,2010-09,0.1319
EMERGING,EMERGING,331,2010-08,2010-09,0.5408
EMERGING,ENGAGED,114,2010-08,2010-09,0.1863
EMERGING,SOFTENING,167,2010-08,2010-09,0.2729
ENGAGED,ENGAGED,649,2010-08,2010-09,0.6753
ENGAGED,SOFTENING,312,2010-08,2010-09,0.3247
REACTIVATED,ENGAGED,83,2010-08,2010-09,1.0
SOFTENING,DORMANT,279,2010-08,2010-09,0.4247
SOFTENING,ENGAGED,185,2010-08,2010-09,0.2816
SOFTENING,SOFTENING,193,2010-08,2010-09,0.2938
DORMANT,DORMANT,919,2010-09,2010-10,0.7964
DORMANT,REACTIVATED,235,2010-09,2010-10,0.2036
EMERGING,EMERGING,399,2010-09,2010-10,0.6951
EMERGING,ENGAGED,74,2010-09,2010-10,0.1289
EMERGING,SOFTENING,101,2010-09,2010-10,0.176
ENGAGED,ENGAGED,733,2010-09,2010-10,0.711
ENGAGED,SOFTENING,298,2010-09,2010-10,0.289
REACTIVATED,ENGAGED,133,2010-09,2010-10,1.0
SOFTENING,DORMANT,257,2010-09,2010-10,0.3824
SOFTENING,ENGAGED,216,2010-09,2010-10,0.3214
SOFTENING,SOFTENING,199,2010-09,2010-10,0.2961
DORMANT,DORMANT,961,2010-10,2010-11,0.8172
DORMANT,REACTIVATED,215,2010-10,2010-11,0.1828
EMERGING,EMERGING,620,2010-10,2010-11,0.799
EMERGING,ENGAGED,76,2010-10,2010-11,0.0979
EMERGING,SOFTENING,80,2010-10,2010-11,0.1031
ENGAGED,ENGAGED,882,2010-10,2010-11,0.763
ENGAGED,SOFTENING,274,2010-10,2010-11,0.237
REACTIVATED,ENGAGED,235,2010-10,2010-11,1.0
SOFTENING,DORMANT,182,2010-10,2010-11,0.3043
SOFTENING,ENGAGED,232,2010-10,2010-11,0.388
SOFTENING,SOFTENING,184,2010-10,2010-11,0.3077
DORMANT,DORMANT,1071,2010-11,2010-12,0.937
DORMANT,REACTIVATED,72,2010-11,2010-12,0.063
EMERGING,EMERGING,688,2010-11,2010-12,0.728
EMERGING,ENGAGED,108,2010-11,2010-12,0.1143
EMERGING,SOFTENING,149,2010-11,2010-12,0.1577
ENGAGED,ENGAGED,1071,2010-11,2010-12,0.7516
ENGAGED,SOFTENING,354,2010-11,2010-12,0.2484
REACTIVATED,ENGAGED,215,2010-11,2010-12,1.0
SOFTENING,DORMANT,213,2010-11,2010-12,0.3959
SOFTENING,ENGAGED,145,2010-11,2010-12,0.2695
SOFTENING,SOFTENING,180,2010-11,2010-12,0.3346
DORMANT,DORMANT,1222,2010-12,2011-01,0.9517
DORMANT,REACTIVATED,62,2010-12,2011-01,0.0483
EMERGING,EMERGING,393,2010-12,2011-01,0.5144
EMERGING,ENGAGED,126,2010-12,2011-01,0.1649
EMERGING,SOFTENING,245,2010-12,2011-01,0.3207
ENGAGED,ENGAGED,1012,2010-12,2011-01,0.6576
ENGAGED,SOFTENING,527,2010-12,2011-01,0.3424
REACTIVATED,ENGAGED,72,2010-12,2011-01,1.0
SOFTENING,DORMANT,353,2010-12,2011-01,0.5168
SOFTENING,ENGAGED,131,2010-12,2011-01,0.1918
SOFTENING,SOFTENING,199,2010-12,2011-01,0.2914
DORMANT,DORMANT,1491,2011-01,2011-02,0.9467
DORMANT,REACTIVATED,84,2011-01,2011-02,0.0533
EMERGING,EMERGING,153,2011-01,2011-02,0.3297
EMERGING,ENGAGED,64,2011-01,2011-02,0.1379
EMERGING,SOFTENING,247,2011-01,2011-02,0.5323
ENGAGED,ENGAGED,537,2011-01,2011-02,0.4004
ENGAGED,SOFTENING,804,2011-01,2011-02,0.5996
REACTIVATED,ENGAGED,62,2011-01,2011-02,1.0
SOFTENING,ENGAGED,114,2011-01,2011-02,0.1174
SOFTENING,SOFTENING,857,2011-01,2011-02,0.8826
DORMANT,DORMANT,1395,2011-02,2011-03,0.9356
DORMANT,REACTIVATED,96,2011-02,2011-03,0.0644
EMERGING,DORMANT,3,2011-02,2011-03,0.0108
EMERGING,EMERGING,195,2011-02,2011-03,0.704
EMERGING,ENGAGED,16,2011-02,2011-03,0.0578
EMERGING,SOFTENING,63,2011-02,2011-03,0.2274
ENGAGED,ENGAGED,410,2011-02,2011-03,0.5277
ENGAGED,SOFTENING,367,2011-02,2011-03,0.4723
REACTIVATED,ENGAGED,84,2011-02,2011-03,1.0
SOFTENING,DORMANT,1184,2011-02,2011-03,0.6205
SOFTENING,ENGAGED,209,2011-02,2011-03,0.1095
SOFTENING,REACTIVATED,61,2011-02,2011-03,0.032
SOFTENING,SOFTENING,454,2011-02,2011-03,0.2379
DORMANT,DORMANT,2388,2011-03,2011-04,0.9249
DORMANT,REACTIVATED,194,2011-03,2011-04,0.0751
EMERGING,EMERGING,310,2011-03,2011-04,0.8289
EMERGING,ENGAGED,23,2011-03,2011-04,0.0615
EMERGING,SOFTENING,41,2011-03,2011-04,0.1096
ENGAGED,ENGAGED,478,2011-03,2011-04,0.6648
ENGAGED,SOFTENING,241,2011-03,2011-04,0.3352
REACTIVATED,ENGAGED,157,2011-03,2011-04,1.0
SOFTENING,ENGAGED,157,2011-03,2011-04,0.1776
SOFTENING,SOFTENING,727,2011-03,2011-04,0.8224
DORMANT,DORMANT,2215,2011-04,2011-05,0.9276
DORMANT,REACTIVATED,173,2011-04,2011-05,0.0724
EMERGING,EMERGING,278,2011-04,2011-05,0.6683
EMERGING,ENGAGED,48,2011-04,2011-05,0.1154
EMERGING,SOFTENING,90,2011-04,2011-05,0.2163
ENGAGED,ENGAGED,613,2011-04,2011-05,0.7521
ENGAGED,SOFTENING,202,2011-04,2011-05,0.2479
REACTIVATED,ENGAGED,194,2011-04,2011-05,1.0
SOFTENING,DORMANT,262,2011-04,2011-05,0.2597
SOFTENING,ENGAGED,282,2011-04,2011-05,0.2795
SOFTENING,REACTIVATED,35,2011-04,2011-05,0.0347
SOFTENING,SOFTENING,430,2011-04,2011-05,0.4262
DORMANT,DORMANT,2317,2011-05,2011-06,0.9354
DORMANT,REACTIVATED,160,2011-05,2011-06,0.0646
EMERGING,EMERGING,217,2011-05,2011-06,0.5578
EMERGING,ENGAGED,65,2011-05,2011-06,0.1671
EMERGING,SOFTENING,107,2011-05,2011-06,0.2751
ENGAGED,ENGAGED,800,2011-05,2011-06,0.7036
ENGAGED,SOFTENING,337,2011-05,2011-06,0.2964
REACTIVATED,ENGAGED,208,2011-05,2011-06,1.0
SOFTENING,DORMANT,383,2011-05,2011-06,0.5305
SOFTENING,ENGAGED,163,2011-05,2011-06,0.2258
SOFTENING,REACTIVATED,36,2011-05,2011-06,0.0499
SOFTENING,SOFTENING,140,2011-05,2011-06,0.1939
DORMANT,DORMANT,2542,2011-06,2011-07,0.9415
DORMANT,REACTIVATED,158,2011-06,2011-07,0.0585
EMERGING,EMERGING,218,2011-06,2011-07,0.6708
EMERGING,ENGAGED,43,2011-06,2011-07,0.1323
EMERGING,SOFTENING,64,2011-06,2011-07,0.1969
ENGAGED,ENGAGED,915,2011-06,2011-07,0.7403
ENGAGED,SOFTENING,321,2011-06,2011-07,0.2597
REACTIVATED,ENGAGED,196,2011-06,2011-07,1.0
SOFTENING,DORMANT,297,2011-06,2011-07,0.5086
SOFTENING,ENGAGED,159,2011-06,2011-07,0.2723
SOFTENING,SOFTENING,128,2011-06,2011-07,0.2192
DORMANT,DORMANT,2705,2011-07,2011-08,0.9528
DORMANT,REACTIVATED,134,2011-07,2011-08,0.0472
EMERGING,EMERGING,206,2011-07,2011-08,0.6438
EMERGING,ENGAGED,46,2011-07,2011-08,0.1437
EMERGING,SOFTENING,68,2011-07,2011-08,0.2125
ENGAGED,ENGAGED,848,2011-07,2011-08,0.6458
ENGAGED,SOFTENING,465,2011-07,2011-08,0.3542
REACTIVATED,ENGAGED,158,2011-07,2011-08,1.0
SOFTENING,DORMANT,236,2011-07,2011-08,0.46
SOFTENING,ENGAGED,129,2011-07,2011-08,0.2515
SOFTENING,SOFTENING,148,2011-07,2011-08,0.2885
DORMANT,DORMANT,2690,2011-08,2011-09,0.9147
DORMANT,REACTIVATED,251,2011-08,2011-09,0.0853
EMERGING,EMERGING,205,2011-08,2011-09,0.6571
EMERGING,ENGAGED,48,2011-08,2011-09,0.1538
EMERGING,SOFTENING,59,2011-08,2011-09,0.1891
ENGAGED,ENGAGED,816,2011-08,2011-09,0.6909
ENGAGED,SOFTENING,365,2011-08,2011-09,0.3091
REACTIVATED,ENGAGED,134,2011-08,2011-09,1.0
SOFTENING,DORMANT,269,2011-08,2011-09,0.395
SOFTENING,ENGAGED,201,2011-08,2011-09,0.2952
SOFTENING,SOFTENING,211,2011-08,2011-09,0.3098
DORMANT,DORMANT,2668,2011-09,2011-10,0.9017
DORMANT,REACTIVATED,291,2011-09,2011-10,0.0983
EMERGING,EMERGING,290,2011-09,2011-10,0.736
EMERGING,ENGAGED,57,2011-09,2011-10,0.1447
EMERGING,SOFTENING,47,2011-09,2011-10,0.1193
ENGAGED,ENGAGED,832,2011-09,2011-10,0.6939
ENGAGED,SOFTENING,367,2011-09,2011-10,0.3061
REACTIVATED,ENGAGED,251,2011-09,2011-10,1.0
SOFTENING,DORMANT,248,2011-09,2011-10,0.3906
SOFTENING,ENGAGED,193,2011-09,2011-10,0.3039
SOFTENING,SOFTENING,194,2011-09,2011-10,0.3055
DORMANT,DORMANT,2570,2011-10,2011-11,0.8813
DORMANT,REACTIVATED,346,2011-10,2011-11,0.1187
EMERGING,EMERGING,410,2011-10,2011-11,0.8023
EMERGING,ENGAGED,51,2011-10,2011-11,0.0998
EMERGING,SOFTENING,50,2011-10,2011-11,0.0978
ENGAGED,ENGAGED,1043,2011-10,2011-11,0.7824
ENGAGED,SOFTENING,290,2011-10,2011-11,0.2176
REACTIVATED,ENGAGED,291,2011-10,2011-11,1.0
SOFTENING,DORMANT,195,2011-10,2011-11,0.3207
SOFTENING,ENGAGED,247,2011-10,2011-11,0.4062
SOFTENING,SOFTENING,166,2011-10,2011-11,0.273
DORMANT,DORMANT,2690,2011-11,2011-12,0.9729
DORMANT,REACTIVATED,75,2011-11,2011-12,0.0271
EMERGING,EMERGING,412,2011-11,2011-12,0.6855
EMERGING,ENGAGED,89,2011-11,2011-12,0.1481
EMERGING,SOFTENING,100,2011-11,2011-12,0.1664
ENGAGED,ENGAGED,1172,2011-11,2011-12,0.7181
ENGAGED,SOFTENING,460,2011-11,2011-12,0.2819
REACTIVATED,ENGAGED,346,2011-11,2011-12,1.0
SOFTENING,DORMANT,215,2011-11,2011-12,0.4249
SOFTENING,ENGAGED,112,2011-11,2011-12,0.2213
SOFTENING,SOFTENING,179,2011-11,2011-12,0.3538
