cohort_month,order_month,active_customers,cohort_index,customers_acquired,retention_rate
2011-01,2011-08,9,7,71,0.1268
2011-01,2011-09,8,8,71,0.1127
2011-01,2011-10,15,9,71,0.2113
2011-01,2011-11,18,10,71,0.2535
2011-01,2011-12,8,11,71,0.1127
2011-02,2011-02,124,0,124,1.0
2011-02,2011-03,20,1,124,0.1613
2011-02,2011-04,19,2,124,0.1532
2011-02,2011-05,23,3,124,0.1855
2011-02,2011-06,27,4,124,0.2177
2011-02,2011-07,19,5,124,0.1532
2011-02,2011-08,19,6,124,0.1532
2011-02,2011-09,18,7,124,0.1452
2011-02,2011-10,18,8,124,0.1452
2011-02,2011-11,22,9,124,0.1774
2011-02,2011-12,7,10,124,0.0565
2011-03,2011-03,179,0,179,1.0
2011-03,2011-04,33,1,179,0.1844
2011-03,2011-05,39,2,179,0.2179
2011-03,2011-06,36,3,179,0.2011
2011-03,2011-07,40,4,179,0.2235
2011-03,2011-08,27,5,179,0.1508
2011-03,2011-09,37,6,179,0.2067
2011-03,2011-10,36,7,179,0.2011
2011-03,2011-11,43,8,179,0.2402
2011-03,2011-12,17,9,179,0.095
2011-04,2011-04,106,0,106,1.0
2011-04,2011-05,27,1,106,0.2547
2011-04,2011-06,21,2,106,0.1981
2011-04,2011-07,21,3,106,0.1981
2011-04,2011-08,19,4,106,0.1792
2011-04,2011-09,25,5,106,0.2358
2011-04,2011-10,19,6,106,0.1792
2011-04,2011-11,27,7,106,0.2547
2011-04,2011-12,12,8,106,0.1132
2011-05,2011-05,111,0,111,1.0
2011-05,2011-06,26,1,111,0.2342
2011-05,2011-07,27,2,111,0.2432
2011-05,2011-08,18,3,111,0.1622
2011-05,2011-09,24,4,111,0.2162
2011-05,2011-10,23,5,111,0.2072
2011-05,2011-11,29,6,111,0.2613
2011-05,2011-12,13,7,111,0.1171
2011-06,2011-06,108,0,108,1.0
2011-06,2011-07,25,1,108,0.2315
2011-06,2011-08,23,2,108,0.213
2011-06,2011-09,29,3,108,0.2685
2011-06,2011-10,22,4,108,0.2037
2011-06,2011-11,31,5,108,0.287
2011-06,2011-12,9,6,108,0.0833
2011-07,2011-07,102,0,102,1.0
2011-07,2011-08,22,1,102,0.2157
2011-07,2011-09,31,2,102,0.3039
2011-07,2011-10,28,3,102,0.2745
2011-07,2011-11,35,4,102,0.3431
2011-07,2011-12,16,5,102,0.1569
2011-08,2011-08,106,0,106,1.0
2011-08,2011-09,29,1,106,0.2736
2011-08,2011-10,33,2,106,0.3113
2011-08,2011-11,28,3,106,0.2642
2011-08,2011-12,18,4,106,0.1698
2011-09,2011-09,189,0,189,1.0
2011-09,2011-10,51,1,189,0.2698
2011-09,2011-11,71,2,189,0.3757
2011-09,2011-12,28,3,189,0.1481
2011-10,2011-10,221,0,221,1.0
2011-10,2011-11,71,1,221,0.3213
2011-10,2011-12,35,2,221,0.1584
2011-11,2011-11,191,0,191,1.0
2011-11,2011-12,27,1,191,0.1414
2011-12,2011-12,28,0,28,1.0
