stock_code,description,total_quantity,total_revenue,customer_count,order_count,revenue_share
48185,DOORMAT FAIRY CAKE,4760,29116.96,219,420,0.0017
20712,JUMBO BAG WOODLAND ANIMALS,15709,29105.5,387,915,0.0017
15036,ASSORTED COLOURS SILK FAN,40994,28766.32,303,634,0.0017
47590B,PINK HAPPY BIRTHDAY BUNTING,5652,28581.4,428,810,0.0016
20679,EDWARDIAN PARASOL RED,6029,28557.920000000002,271,622,0.0016
20914,SET/5 RED SPOTTY LID GLASS BOWLS,10526,28513.3,357,787,0.0016
82483,WOOD 2 DRAWER CABINET WHITE FINISH,4774,27952.22,361,1053,0.0016
22379,RECYCLING BAG RETROSPOT,14259,27893.78,423,1013,0.0016
22139,RETROSPOT TEA SET CERAMIC 11 PC,5745,27595.33,652,1145,0.0016
22865,HAND WARMER OWL DESIGN,13675,27514.63,566,1058,0.0016
22188,BLACK HEART CARD HOLDER,10255,27324.45,292,487,0.0016
22622,BOX OF VINTAGE ALPHABET BLOCKS,2833,27251.26,346,511,0.0016
20725,LUNCH BAG RED SPOTTY,17456,27237.6,499,1059,0.0016
22666,RECIPE BOX PANTRY YELLOW DESIGN,9600,27222.52,701,1277,0.0016
22077,6 RIBBONS RUSTIC CHARM,16026,27031.039999999997,685,1361,0.0016
21928,JUMBO BAG SCANDINAVIAN PAISLEY,15358,26847.1,333,721,0.0015
22659,LUNCH BOX I LOVE LONDON,15156,26596.719999999998,293,763,0.0015
23245,SET OF 3 REGENCY CAKE TINS,5844,26566.280000000002,472,718,0.0015
23199,JUMBO BAG APPLES,13875,26426.3,344,718,0.0015
21977,PACK OF 60 PINK PAISLEY CAKE CASES,54592,26407.350000000002,767,1578,0.0015
22467,GUMBALL COAT RACK,11460,26149.13,398,928,0.0015
22492,MINI PAINT SET VINTAGE,41507,25900.190000000002,356,618,0.0015
72741,GRAND CHOCOLATECANDLE,19284,25895.399999999998,510,823,0.0015
84991,60 TEATIME FAIRY CAKE CASES,52828,25785.920000000002,822,1765,0.0015
22752,SET 7 BABUSHKA NESTING BOXES,3273,25620.99,323,577,0.0015
22726,ALARM CLOCK BAKELIKE GREEN,6713,24898.96,404,1041,0.0014
22386,JUMBO BAG PINK WITH WHITE SPOTS,13766,24450.6,358,712,0.0014
85099B,JUMBO BAG RED WHITE SPOTTY,13879,24323.85,321,465,0.0014
23355,HOT WATER BOTTLE KEEP CALM,5313,24302.550000000003,474,719,0.0014
47566B,TEA TIME PARTY BUNTING,5612,24255.3,350,655,0.0014
22149,FELTCRAFT 6 FLOWER FRIENDS,12174,24248.29,684,1189,0.0014
48138,DOOR MAT UNION FLAG,3733,24216.23,389,637,0.0014
23201,JUMBO BAG ALPHABET,12533,24160.44,396,752,0.0014
22624,IVORY KITCHEN SCALES,2916,24137.48,579,1065,0.0014
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,105185,24098.03,482,920,0.0014
20972,PINK CREAM FELT CRAFT TRINKET BOX,20064,23812.52,568,1224,0.0014
37503,TEA TIME CAKE STAND IN GIFT BOX,2384,23784.8,256,465,0.0014
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,39259,23598.510000000002,524,1100,0.0014
20971,PINK BLUE FELT CRAFT TRINKET BOX,20500,23554.3,490,1003,0.0014
47590A,BLUE HAPPY BIRTHDAY BUNTING,4681,23531.47,355,633,0.0014
22697,GREEN REGENCY TEACUP AND SAUCER,8500,23507.24,475,933,0.0014
22866,HAND WARMER SCOTTY DOG DESIGN,11667,23436.660000000003,530,939,0.0013
22197,POPCORN HOLDER,30919,23417.51,295,632,0.0013
84836,ZINC METAL HEART DECORATION,19328,23331.43,662,1244,0.0013
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,12532,23322.62,325,408,0.0013
22551,PLASTERS IN TIN SPACEBOY,14623,23194.949999999997,616,1156,0.0013
21485,RETROSPOT HEART HOT WATER BOTTLE,4895,23085.530000000002,502,815,0.0013
22507,MEMO BOARD RETROSPOT  DESIGN,5208,23083.44,445,737,0.0013
22084,PAPER CHAIN KIT EMPIRE,8437,23049.95,464,704,0.0013
23173,REGENCY TEAPOT ROSES,2662,23033.52,248,354,0.0013
82583,HOT BATHS METAL SIGN,11797,23010.120000000003,323,820,0.0013
71459,HANGING JAM JAR T-LIGHT HOLDER,29255,22805.989999999998,421,815,0.0013
21930,JUMBO STORAGE BAG SKULLS,12305,22795.28,386,997,0.0013
22158,3 HEARTS HANGING DECORATION RUSTIC,7982,22471.86,374,646,0.0013
22961,JAM MAKING SET PRINTED,15867,22328.949999999997,558,903,0.0013
22867,HAND WARMER BIRD DESIGN,11000,22168.33,521,907,0.0013
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4658,22109.08,275,385,0.0013
82600,NO SINGING METAL SIGN,11194,22097.04,375,970,0.0013
84978,HANGING HEART JAR T-LIGHT HOLDER,19012,22079.74,525,1087,0.0013
22383,LUNCH BAG SUKI  DESIGN,13896,22026.4,463,1073,0.0013
21212,PACK OF 72 RETRO SPOT CAKE CASES,45129,21838.23,632,1160,0.0013
21231,SWEETHEART CERAMIC TRINKET BOX,18488,21793.25,500,1171,0.0013
21481,FAWN BLUE HOT WATER BOTTLE,7526,21779.5,439,834,0.0013
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,7709,21682.030000000002,442,1003,0.0012
21212,PACK OF 72 RETROSPOT CAKE CASES,44721,21551.8,772,1348,0.0012
84946,ANTIQUE SILVER TEA GLASS ETCHED,18604,21540.440000000002,413,789,0.0012
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,8849,21490.17,444,599,0.0012
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2999,21458.420000000002,269,544,0.0012
22835,HOT WATER BOTTLE I AM SO POORLY,4638,21398.280000000002,451,815,0.0012
22728,ALARM CLOCK BAKELIKE PINK,5833,21369.98,357,772,0.0012
22087,PAPER BUNTING WHITE LACE,7752,21336.350000000002,314,663,0.0012
84406B,CREAM CUPID HEARTS COAT HANGER,6682,21256.0,318,724,0.0012
20749,ASSORTED COLOUR MINI CASES,2972,21169.64,426,726,0.0012
22607,WOODEN ROUNDERS GARDEN SET,2406,20978.47,419,643,0.0012
22113,GREY HEART HOT WATER BOTTLE,5623,20977.78,488,913,0.0012
22556,PLASTERS IN TIN CIRCUS PARADE,13112,20950.159999999996,591,1100,0.0012
22090,PAPER BUNTING RETROSPOT,7632,20933.24,374,658,0.0012
23202,JUMBO BAG VINTAGE LEAF,10695,20921.55,377,772,0.0012
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5724,20838.9,386,758,0.0012
22605,WOODEN CROQUET GARDEN SET,1710,20813.809999999998,377,548,0.0012
22090,PAPER BUNTING RETRO SPOTS,7595,20723.25,367,607,0.0012
21314,SMALL GLASS HEART TRINKET POT,10447,20588.260000000002,369,711,0.0012
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5366,20506.300000000003,394,654,0.0012
22554,PLASTERS IN TIN WOODLAND ANIMALS,12824,20471.679999999997,587,1097,0.0012
22698,PINK REGENCY TEACUP AND SAUCER,7408,20329.64,400,746,0.0012
48184,DOORMAT ENGLISH ROSE,3158,20298.8,268,464,0.0012
20711,JUMBO BAG TOYS,11326,20283.78,326,671,0.0012
22969,HOMEMADE JAM SCENTED CANDLES,14012,20204.8,472,577,0.0012
37449,CERAMIC CAKE STAND + HANGING CAKES,2277,20204.579999999998,205,410,0.0012
23203,JUMBO BAG VINTAGE DOILY,10320,20104.4,363,620,0.0012
21790,VINTAGE SNAP CARDS,25120,19957.34,793,1480,0.0011
22585,PACK OF 6 BIRDY GIFT TAGS,16784,19950.850000000002,612,950,0.0011
22139,RETRO SPOT TEA SET CERAMIC 11 PC,4304,19921.27,465,692,0.0011
84970S,HANGING HEART ZINC T-LIGHT HOLDER,25389,19821.96,616,1141,0.0011
22083,PAPER CHAIN KIT RETRO SPOT,7351,19804.550000000003,324,490,0.0011
22617,BAKING SET SPACEBOY DESIGN,4165,19719.210000000003,600,883,0.0011
22294,HEART FILIGREE DOVE  SMALL,16260,19686.6,414,707,0.0011
22941,CHRISTMAS LIGHTS 10 REINDEER,2487,19590.9,315,406,0.0011
22273,FELTCRAFT DOLL MOLLY,7203,19332.93,423,701,0.0011
22570,FELTCRAFT CUSHION RABBIT,5420,19282.55,351,677,0.0011
21524,DOORMAT SPOTTY HOME SWEET HOME,2671,19215.5,355,636,0.0011
48188,DOORMAT WELCOME PUPPIES,3345,19178.670000000002,220,368,0.0011
22625,RED KITCHEN SCALES,2360,19149.63,440,781,0.0011
21791,VINTAGE HEADS AND TAILS CARD GAME,16199,19147.65,641,1050,0.0011
22568,FELTCRAFT CUSHION OWL,5312,19128.13,389,771,0.0011
22569,FELTCRAFT CUSHION BUTTERFLY,5357,18865.21,360,679,0.0011
22413,METAL SIGN TAKE IT OR LEAVE IT,6814,18863.02,446,766,0.0011
85150,LADIES & GENTLEMEN METAL SIGN,8078,18847.98,369,889,0.0011
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17242,18798.98,197,281,0.0011
22501,PICNIC BASKET WICKER LARGE,2055,18794.25,346,497,0.0011
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2525,18618.75,309,432,0.0011
21622,VINTAGE UNION JACK CUSHION COVER,3517,18495.47,329,550,0.0011
22558,CLOTHES PEGS RETROSPOT PACK 24,13410,18411.739999999998,541,1017,0.0011
21213,PACK OF 72 SKULL CAKE CASES,38530,18319.18,528,1156,0.0011
22499,WOODEN UNION JACK BUNTING,3165,18251.280000000002,452,632,0.0011
23206,LUNCH BAG APPLE DESIGN,11530,18220.5,401,866,0.001
22384,LUNCH BAG PINK POLKADOT,11392,18207.2,508,1101,0.001
21908,CHOCOLATE THIS WAY METAL SIGN,9396,18041.24,382,801,0.001
84949,SILVER HANGING T-LIGHT HOLDER,11635,18001.35,330,612,0.001
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1702,17888.71,249,383,0.001
22561,WOODEN SCHOOL COLOURING SET,11158,17861.219999999998,556,838,0.001
21174,POTTERING IN THE SHED METAL SIGN,9247,17814.51,402,855,0.001
22555,PLASTERS IN TIN STRONGMAN,11048,17664.44,514,856,0.001
22456,NATURAL SLATE CHALKBOARD LARGE,4016,17637.16,385,595,0.001
23344,JUMBO BAG 50'S CHRISTMAS,8933,17636.04,391,586,0.001
22427,ENAMEL FLOWER JUG CREAM,3039,17471.23,460,702,0.001
21936,RED RETROSPOT PICNIC BAG,6292,17462.96,359,701,0.001
79323W,WHITE CHERRY LIGHTS,2948,17384.8,174,313,0.001
22061,LARGE CAKE STAND  HANGING STRAWBERY,2086,17354.85,219,443,0.001
22147,FELTCRAFT BUTTERFLY HEARTS,12605,17238.05,582,1026,0.001
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,15028,17162.93,312,559,0.001
21479,WHITE SKULL HOT WATER BOTTLE,4538,16917.32,410,738,0.001
21136,PAINTED METAL PEARS ASSORTED,10255,16907.51,449,714,0.001
22633,HAND WARMER UNION JACK,8364,16857.36,473,790,0.001
22560,TRADITIONAL MODELLING CLAY,14393,16851.64,420,655,0.001
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,21125,16833.35,344,585,0.001
23203,JUMBO BAG DOILEY PATTERNS,8735,16737.1,299,454,0.001
22169,FAMILY ALBUM WHITE PICTURE FRAME,2094,16676.94,276,570,0.001
22505,MEMO BOARD COTTAGE DESIGN,3605,16599.89,397,655,0.001
21218,RED SPOTTY BISCUIT TIN,4715,16431.45,313,588,0.0009
22847,BREAD BIN DINER STYLE IVORY,1049,16335.789999999999,259,435,0.0009
84992,72 SWEETHEART FAIRY CAKE CASES,33936,16178.470000000001,614,1176,0.0009
21527,RED RETROSPOT TRADITIONAL TEAPOT,2266,15892.740000000002,280,508,0.0009
21164,HOME SWEET HOME METAL SIGN,5839,15888.490000000002,356,630,0.0009
22297,HEART IVORY TRELLIS SMALL,12939,15836.59,391,646,0.0009
22424,ENAMEL BREAD BIN CREAM,1300,15621.65,310,559,0.0009
48173C,DOORMAT BLACK FLOCK,2813,15618.36,166,290,0.0009
22557,PLASTERS IN TIN VINTAGE PAISLEY,9827,15614.589999999998,580,991,0.0009
22900,SET 2 TEA TOWELS I LOVE LONDON,5458,15566.6,252,507,0.0009
22083,PAPER CHAIN KIT RETROSPOT,5514,15411.86,376,585,0.0009
21877,HOME SWEET HOME MUG,13856,15399.56,323,650,0.0009
22383,LUNCH BAG SUKI DESIGN,9570,15332.9,399,899,0.0009
22690,DOORMAT HOME SWEET HOME BLUE,2493,15329.57,278,401,0.0009
71053,WHITE METAL LANTERN,4306,15309.64,290,583,0.0009
22662,LUNCH BAG DOLLY GIRL DESIGN,9715,15305.19,426,872,0.0009
22632,HAND WARMER RED RETROSPOT,7578,15272.520000000002,421,675,0.0009
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,16445,15241.509999999998,463,821,0.0009
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6418,15232.34,353,798,0.0009
22296,HEART IVORY TRELLIS LARGE,9416,15218.079999999998,428,739,0.0009
84946,ANTIQUE SILVER T-LIGHT GLASS,12949,15176.42,348,534,0.0009
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,1632,15172.599999999999,301,444,0.0009
20685,DOOR MAT RED SPOT,2426,15093.48,245,369,0.0009
22041,"RECORD FRAME 7"" SINGLE SIZE",6845,15088.77,101,319,0.0009
21843,RETRO SPOT CAKE STAND,1431,15083.449999999999,207,295,0.0009
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,4198,15067.14,238,416,0.0009
20719,WOODLAND CHARLOTTE BAG,19027,15030.64,365,1062,0.0009
22634,CHILDS BREAKFAST SET SPACEBOY,1627,15021.4,322,464,0.0009
22502,PICNIC BASKET WICKER SMALL,2985,14945.6,335,566,0.0009
22652,TRAVEL SEWING KIT,9353,14859.81,440,716,0.0009
21975,PACK OF 60 DINOSAUR CAKE CASES,30881,14818.01,543,1133,0.0009
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,3405,14796.150000000001,247,373,0.0009
22635,CHILDS BREAKFAST SET DOLLY GIRL,1598,14787.949999999999,325,450,0.0009
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4169,14719.35,323,578,0.0008
21914,BLUE HARMONICA IN BOX,11830,14667.47,446,815,0.0008
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,2309,14658.65,279,510,0.0008
17003,BROCADE RING PURSE,70082,14640.96,215,387,0.0008
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,7754,14626.73,232,451,0.0008
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,4051,14609.91,268,460,0.0008
21891,TRADITIONAL WOODEN SKIPPING ROPE,11721,14603.13,483,664,0.0008
82582,AREA PATROLLED METAL SIGN,7346,14563.1,258,696,0.0008
84375,SET OF 20 KIDS COOKIE CUTTERS,7275,14558.970000000001,389,626,0.0008
20750,RED RETROSPOT MINI CASES,2021,14548.55,307,479,0.0008
22193,RED DINER WALL CLOCK,1775,14527.09,265,554,0.0008
85014B,RED RETROSPOT UMBRELLA,2613,14439.12,273,421,0.0008
21889,WOODEN BOX OF DOMINOES,11803,14430.66,595,869,0.0008
21258,VICTORIAN SEWING BOX LARGE,1229,14406.63,186,344,0.0008
22487,WHITE WOOD GARDEN PLANT LADDER,1519,14256.96,611,808,0.0008
22993,SET OF 4 PANTRY JELLY MOULDS,11769,14151.42,431,866,0.0008
22759,SET OF 3 NOTEBOOKS IN PARCEL,8860,14138.399999999998,472,634,0.0008
21484,CHICK GREY HOT WATER BOTTLE,4085,14071.27,367,676,0.0008
21165,BEWARE OF THE CAT METAL SIGN,9080,14070.08,321,779,0.0008
22619,SET OF 6 SOLDIER SKITTLES,3762,13950.85,419,574,0.0008
21770,OPEN CLOSED METAL SIGN,2896,13926.810000000001,423,580,0.0008
22384,LUNCH BAG PINK RETROSPOT,8738,13893.7,375,730,0.0008
84378,SET OF 3 HEART COOKIE CUTTERS,11007,13862.84,601,944,0.0008
22837,HOT WATER BOTTLE BABUSHKA,3093,13807.25,210,354,0.0008
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,3820,13805.16,271,445,0.0008
84997D,CHILDRENS CUTLERY POLKADOT PINK,3528,13788.300000000001,208,323,0.0008
21380,WOODEN HAPPY BIRTHDAY GARLAND,4877,13770.150000000001,325,540,0.0008
22150,3 STRIPEY MICE FELTCRAFT,7633,13756.75,505,829,0.0008
22606,WOODEN SKITTLES GARDEN SET,1022,13722.74,269,337,0.0008
35004C,SET OF 3 COLOURED  FLYING DUCKS,2851,13577.150000000001,112,229,0.0008
48111,DOORMAT 3 SMILEY CATS,2290,13552.78,173,326,0.0008
22940,FELTCRAFT CHRISTMAS FAIRY,3286,13462.18,392,547,0.0008
21217,RED SPOTTY ROUND CAKE TINS,1415,13458.25,277,418,0.0008
21169,YOU'RE CONFUSING ME METAL SIGN,8642,13438.58,278,621,0.0008
47556B,TEA TIME TEA TOWELS,5141,13363.35,209,408,0.0008
84050,PINK HEART SHAPE EGG FRYING PAN,9547,13316.63,308,557,0.0008
22191,IVORY DINER WALL CLOCK,1629,13271.900000000001,282,475,0.0008
22271,FELTCRAFT DOLL ROSIE,4744,13244.460000000001,400,691,0.0008
79323P,PINK CHERRY LIGHTS,2234,13198.1,132,229,0.0008
22295,HEART FILIGREE DOVE LARGE,8159,13184.069999999998,381,620,0.0008
22692,DOORMAT WELCOME TO OUR HOME,1935,13103.81,293,460,0.0008
21094,SET/6 RED SPOTTY PAPER PLATES,17752,13068.56,328,692,0.0008
23200,JUMBO BAG PEARS,6729,13034.92,262,470,0.0008
23108,SET OF 10 LED DOLLY LIGHTS,2192,12972.73,271,351,0.0007
23313,VINTAGE CHRISTMAS BUNTING,2748,12960.12,254,359,0.0007
23356,LOVE HOT WATER BOTTLE,2325,12954.75,316,449,0.0007
22236,CAKE STAND 3 TIER MAGIC GARDEN,1074,12951.9,251,391,0.0007
22730,ALARM CLOCK BAKELIKE IVORY,3451,12951.5,289,616,0.0007
21390,FILIGRIS HEART WITH BUTTERFLY,10622,12849.14,280,482,0.0007
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,4538,12846.140000000001,383,714,0.0007
35970,ZINC FOLKART SLEIGH BELLS,7851,12806.27,415,545,0.0007
15044A,PINK PAPER PARASOL,4894,12803.779999999999,116,194,0.0007
21955,DOORMAT UNION JACK GUNS AND ROSES,2245,12793.49,201,326,0.0007
22621,TRADITIONAL KNITTING NANCY,8365,12780.57,507,719,0.0007
21704,BAG 250g SWIRLY MARBLES,16824,12750.539999999999,287,464,0.0007
22636,CHILDS BREAKFAST SET CIRCUS PARADE,1565,12716.380000000001,312,460,0.0007
22352,LUNCH BOX WITH CUTLERY RETROSPOT,5331,12669.039999999999,316,645,0.0007
22946,WOODEN ADVENT CALENDAR CREAM,869,12588.449999999999,152,208,0.0007
22952,60 CAKE CASES VINTAGE CHRISTMAS,25179,12556.77,520,801,0.0007
22655,VINTAGE RED KITCHEN CABINET,75,12550.0,45,52,0.0007
C2,CARRIAGE,249,12546.0,45,248,0.0007
48116,DOORMAT MULTICOLOUR STRIPE,2273,12541.22,112,193,0.0007
48187,DOOR MAT NEW ENGLAND,1953,12520.95,253,423,0.0007
21871,SAVE THE PLANET MUG,11099,12515.44,299,600,0.0007
23301,GARDENERS KNEELING PAD KEEP CALM,7722,12463.779999999999,405,756,0.0007
62018,SOMBRERO,9548,12413.8,70,123,0.0007
21259,VICTORIAN SEWING BOX SMALL,2171,12409.960000000001,300,553,0.0007
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3407,12407.83,383,621,0.0007
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,10290,12354.22,278,625,0.0007
48129,DOORMAT TOPIARY,2048,12345.7,183,300,0.0007
22766,PHOTO FRAME CORNICE,4246,12280.18,343,580,0.0007
22355,CHARLOTTE BAG SUKI DESIGN,15411,12268.65,344,957,0.0007
22627,MINT KITCHEN SCALES,1476,12219.99,322,558,0.0007
22303,COFFEE MUG APPLES DESIGN,5310,12179.95,266,480,0.0007
75049L,LARGE CIRCULAR MIRROR MOBILE,13566,12173.5,106,230,0.0007
21912,VINTAGE SNAKES & LADDERS,3387,12157.97,447,615,0.0007
22485,SET OF 2 WOODEN MARKET CRATES,995,12146.25,280,341,0.0007
22776,SWEETHEART CAKESTAND 3 TIER,1292,12130.4,347,466,0.0007
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,15376,12124.119999999999,578,889,0.0007
21669,BLUE STRIPE CERAMIC DRAWER KNOB,9897,12115.21,262,639,0.0007
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,2944,12089.2,184,283,0.0007
85042,ANTIQUE LILY FAIRY LIGHTS,2668,12081.0,142,281,0.0007
20724,RED RETROSPOT CHARLOTTE BAG,15168,12034.8,390,908,0.0007
23207,LUNCH BAG ALPHABET DESIGN,7533,11994.41,377,647,0.0007
21217,RED RETROSPOT ROUND CAKE TINS,1268,11983.599999999999,219,350,0.0007
22366,DOORMAT AIRMAIL,1943,11946.53,200,320,0.0007
22553,PLASTERS IN TIN SKULLS,7363,11913.749999999998,507,905,0.0007
21535,RED RETROSPOT SMALL MILK JUG,4943,11908.05,379,713,0.0007
DOT,DOTCOM POSTAGE,16,11906.36,1,16,0.0007
22846,BREAD BIN DINER STYLE RED,771,11879.06,189,309,0.0007
21888,BINGO SET,3219,11877.45,444,626,0.0007
